,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
372,longyearbyen,20,NO,1557525000,62,78.22,15.63,24.8,6.93
373,novyy yarychiv,0,UA,1557523800,87,49.9,24.31,51.8,2.15
374,kharan,100,PK,1557526475,18,28.58,65.42,88.97,5.08
375,beringovskiy,82,RU,1557526475,91,63.05,179.32,25.61,12.26
376,sambava,36,MG,1557526475,99,-14.27,50.17,68.45,3.2
377,eregli,84,TR,1557526476,54,37.51,34.05,55.13,4.32
378,baghdad,0,IQ,1557522000,40,33.3,44.38,68.0,1.12
379,yabrud,0,SY,1557525660,62,33.97,36.66,51.8,10.29
380,omboue,97,GA,1557526476,85,-1.57,9.26,81.59,9.15
381,naron,20,ES,1557526272,87,43.52,-8.15,57.0,9.22
382,vestmannaeyjar,3,IS,1557526477,42,63.44,-20.27,42.89,1.59
